seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
391,0,72,2,2,0,120,144,2,0x1570,28693
393,0,8,2,2,0,128,144,2,0xFFFF,65535
395,0,72,2,2,0,128,144,2,0x296F,28457
397,0,72,2,2,0,136,144,2,0x4170,28737
399,0,72,2,2,0,144,144,2,0x5570,28757
401,0,8,2,2,0,152,144,2,0xFFFF,65535
403,0,72,2,2,0,152,144,2,0x6970,28777
405,0,72,2,2,0,160,144,2,0x8170,28801
407,0,72,2,2,0,168,144,2,0x9570,28821
409,0,8,2,2,0,176,144,2,0xFFFF,65535
411,0,72,2,2,0,176,144,2,0xA96F,28585
413,0,72,2,2,0,184,144,2,0xC170,28865
415,0,72,2,2,0,192,144,2,0xD570,28885
417,0,8,2,2,0,200,144,2,0xFFFF,65535
419,0,72,2,2,0,200,144,2,0xE96F,28649
421,0,72,2,2,0,208,144,2,0x0170,28673
423,0,72,2,2,0,216,144,2,0x1570,28693
425,0,8,2,2,0,224,144,2,0xFFFF,65535
427,0,72,2,2,0,224,144,2,0x296F,28457
429,0,72,2,2,0,232,144,2,0x4170,28737
431,0,72,2,2,0,240,144,2,0x5570,28757
433,0,8,2,2,0,248,144,2,0xFFFF,65535
435,0,72,2,2,0,248,144,2,0x696F,28521
437,0,72,2,2,0,0,144,2,0x8170,28801
439,0,72,2,2,0,8,144,2,0x9570,28821
441,0,8,2,2,0,16,144,2,0xFFFF,65535
443,0,72,2,2,0,16,144,2,0xA970,28841
445,0,72,2,2,0,24,144,2,0xC16F,28609
447,0,72,2,2,0,32,144,2,0xD570,28885
449,0,8,2,2,0,40,144,2,0xFFFF,65535
451,0,72,2,2,0,40,144,2,0xE970,28905
453,0,72,2,2,0,48,144,2,0x016F,28417
455,0,72,2,2,0,56,144,2,0x1570,28693
457,0,8,2,2,0,64,144,2,0xFFFF,65535
459,0,72,2,2,0,64,144,2,0x2970,28713
461,0,72,2,2,0,72,144,2,0x416F,28481
463,0,72,2,2,0,80,144,2,0x5570,28757
465,0,8,2,2,0,88,144,2,0xFFFF,65535
467,0,72,2,2,0,88,144,2,0x696F,28521
469,0,72,2,2,0,96,144,2,0x8170,28801
471,0,72,2,2,0,104,144,2,0x9570,28821
473,0,8,2,2,0,112,144,2,0xFFFF,65535
475,0,72,2,2,0,112,144,2,0xA970,28841
477,0,72,2,2,0,120,144,2,0xC16F,28609
479,0,72,2,2,0,128,144,2,0xD570,28885
481,0,8,2,2,0,136,144,2,0xFFFF,65535
483,0,72,2,2,0,136,144,2,0xE970,28905
485,0,72,2,2,0,144,144,2,0x0170,28673
487,0,72,2,2,0,152,144,2,0x156F,28437
489,0,8,2,2,0,160,144,2,0xFFFF,65535
491,0,72,2,2,0,160,144,2,0x2970,28713
493,0,72,2,2,0,168,144,2,0x4170,28737
495,0,72,2,2,0,176,144,2,0x556F,28501
497,0,8,2,2,0,184,144,2,0xFFFF,65535
499,0,72,2,2,0,184,144,2,0x6970,28777
501,0,72,2,2,0,192,144,2,0x816F,28545
503,0,72,2,2,0,200,144,2,0x9570,28821
505,0,8,2,2,0,208,144,2,0xFFFF,65535
507,0,72,2,2,0,208,144,2,0xA970,28841
509,0,72,2,2,0,216,144,2,0xC170,28865
511,0,72,2,2,0,224,144,2,0xD56F,28629
513,0,8,2,2,0,232,144,2,0xFFFF,65535
515,0,72,2,2,0,232,144,2,0xE96F,28649
517,0,72,2,2,0,240,144,2,0x0170,28673
519,0,72,2,2,0,248,144,2,0x1570,28693
521,0,8,2,2,0,0,144,2,0xFFFF,65535
523,0,72,2,2,0,0,144,2,0x2970,28713
525,0,72,2,2,0,8,144,2,0x4170,28737
527,0,72,2,2,0,16,144,2,0x556F,28501
529,0,8,2,2,0,24,144,2,0xFFFF,65535
531,0,72,2,2,0,24,144,2,0x6970,28777
533,0,72,2,2,0,32,144,2,0x816F,28545
535,0,72,2,2,0,40,144,2,0x9570,28821
537,0,8,2,2,0,48,144,2,0xFFFF,65535
539,0,72,2,2,0,48,144,2,0xA96F,28585
541,0,72,2,2,0,56,144,2,0xC170,28865
543,0,72,2,2,0,64,144,2,0xD56F,28629
545,0,8,2,2,0,72,144,2,0xFFFF,65535
547,0,72,2,2,0,72,144,2,0xE96F,28649
549,0,72,2,2,0,80,144,2,0x016F,28417
551,0,72,2,2,0,88,144,2,0x156F,28437
553,0,8,2,2,0,96,144,2,0xFFFF,65535
555,0,72,2,2,0,96,144,2,0x2970,28713
557,0,72,2,2,0,104,144,2,0x4170,28737
559,0,72,2,2,0,112,144,2,0x5570,28757
561,0,8,2,2,0,120,144,2,0xFFFF,65535
563,0,72,2,2,0,120,144,2,0x6970,28777
565,0,72,2,2,0,128,144,2,0x816F,28545
567,0,72,2,2,0,136,144,2,0x956F,28565
569,0,8,2,2,0,144,144,2,0xFFFF,65535
571,0,72,2,2,0,144,144,2,0xA970,28841
573,0,72,2,2,0,152,144,2,0xC170,28865
575,0,72,2,2,0,160,144,2,0xD56F,28629
