seq,channel,size,sid,dbs,fn_q,dbc,fmt,fdf,syt_be,syt
419,1,72,0,2,0,0,144,255,0xFFFF,65535
421,1,72,0,2,0,0,144,255,0xFFFF,65535
423,1,72,0,2,0,0,144,255,0xFFFF,65535
425,1,72,0,2,0,0,144,255,0xFFFF,65535
427,1,72,0,2,0,0,144,255,0xFFFF,65535
429,1,72,0,2,0,0,144,255,0xFFFF,65535
431,1,72,0,2,0,0,144,255,0xFFFF,65535
433,1,72,0,2,0,0,144,255,0xFFFF,65535
435,1,72,0,2,0,0,144,255,0xFFFF,65535
437,1,72,0,2,0,0,144,255,0xFFFF,65535
439,1,72,0,2,0,0,144,255,0xFFFF,65535
441,1,72,0,2,0,0,144,255,0xFFFF,65535
443,1,72,0,2,0,0,144,255,0xFFFF,65535
445,1,72,0,2,0,0,144,255,0xFFFF,65535
447,1,72,0,2,0,0,144,255,0xFFFF,65535
449,1,72,0,2,0,0,144,255,0xFFFF,65535
451,1,72,0,2,0,0,144,255,0xFFFF,65535
453,1,72,0,2,0,0,144,255,0xFFFF,65535
455,1,72,0,2,0,0,144,255,0xFFFF,65535
457,1,72,0,2,0,0,144,255,0xFFFF,65535
459,1,72,0,2,0,0,144,255,0xFFFF,65535
461,1,72,0,2,0,0,144,255,0xFFFF,65535
463,1,72,0,2,0,0,144,255,0xFFFF,65535
465,1,72,0,2,0,0,144,255,0xFFFF,65535
467,1,72,0,2,0,0,144,255,0xFFFF,65535
469,1,72,0,2,0,0,144,255,0xFFFF,65535
471,1,72,0,2,0,0,144,255,0xFFFF,65535
473,1,72,0,2,0,0,144,255,0xFFFF,65535
475,1,72,0,2,0,0,144,255,0xFFFF,65535
477,1,72,0,2,0,0,144,255,0xFFFF,65535
479,1,72,0,2,0,0,144,255,0xFFFF,65535
481,1,72,0,2,0,0,144,255,0xFFFF,65535
483,1,72,0,2,0,0,144,255,0xFFFF,65535
485,1,72,0,2,0,0,144,255,0xFFFF,65535
487,1,72,0,2,0,0,144,255,0xFFFF,65535
489,1,72,0,2,0,0,144,255,0xFFFF,65535
491,1,72,0,2,0,0,144,255,0xFFFF,65535
