idx,channel,size,syt_be,syt
586,1,8,0xFFFF,65535
588,1,72,0x2970,28713
590,1,72,0x416F,28481
592,1,72,0x5570,28757
594,1,8,0xFFFF,65535
596,1,72,0x696F,28521
598,1,72,0x8170,28801
600,1,72,0x956F,28565
602,1,8,0xFFFF,65535
604,1,72,0xA970,28841
606,1,72,0xC170,28865
608,1,72,0xD570,28885
610,1,8,0xFFFF,65535
612,1,72,0xE96F,28649
614,1,72,0x0170,28673
616,1,72,0x156F,28437
618,1,8,0xFFFF,65535
620,1,72,0x2970,28713
622,1,72,0x416F,28481
624,1,72,0x556F,28501
626,1,8,0xFFFF,65535
628,1,72,0x6970,28777
630,1,72,0x816F,28545
632,1,72,0x956F,28565
634,1,8,0xFFFF,65535
636,1,72,0xA96F,28585
638,1,72,0xC16F,28609
640,1,72,0xD56F,28629
642,1,8,0xFFFF,65535
644,1,72,0xE970,28905
646,1,72,0x016F,28417
648,1,72,0x1570,28693
650,1,8,0xFFFF,65535
652,1,72,0x296F,28457
654,1,72,0x416F,28481
656,1,72,0x5570,28757
658,1,8,0xFFFF,65535
660,1,72,0x696F,28521
662,1,72,0x8170,28801
664,1,72,0x9570,28821
666,1,8,0xFFFF,65535
668,1,72,0xA970,28841
670,1,72,0xC170,28865
672,1,72,0xD570,28885
674,1,8,0xFFFF,65535
676,1,72,0xE970,28905
678,1,72,0x0170,28673
680,1,72,0x1570,28693
682,1,8,0xFFFF,65535
684,1,72,0x2970,28713
686,1,72,0x416F,28481
688,1,72,0x5570,28757
690,1,8,0xFFFF,65535
692,1,72,0x696F,28521
694,1,72,0x8170,28801
696,1,72,0x9570,28821
698,1,8,0xFFFF,65535
700,1,72,0xA96F,28585
702,1,72,0xC16F,28609
704,1,72,0xD56F,28629
706,1,8,0xFFFF,65535
708,1,72,0xE96F,28649
710,1,72,0x0170,28673
712,1,72,0x156F,28437
714,1,8,0xFFFF,65535
716,1,72,0x2970,28713
718,1,72,0x4170,28737
720,1,72,0x556F,28501
722,1,8,0xFFFF,65535
724,1,72,0x6970,28777
726,1,72,0x8170,28801
728,1,72,0x956F,28565
730,1,8,0xFFFF,65535
732,1,72,0xA96F,28585
734,1,72,0xC170,28865
736,1,72,0xD56F,28629
738,1,8,0xFFFF,65535
740,1,72,0xE96F,28649
742,1,72,0x0170,28673
744,1,72,0x156F,28437
746,1,8,0xFFFF,65535
748,1,72,0x2970,28713
750,1,72,0x4170,28737
752,1,72,0x5570,28757
754,1,8,0xFFFF,65535
756,1,72,0x6970,28777
758,1,72,0x8170,28801
760,1,72,0x9570,28821
762,1,8,0xFFFF,65535
764,1,72,0xA970,28841
766,1,72,0xC170,28865
768,1,72,0xD56F,28629
770,1,8,0xFFFF,65535
772,1,72,0xE96F,28649
774,1,72,0x016F,28417
776,1,72,0x1570,28693
778,1,8,0xFFFF,65535
780,1,72,0x2970,28713
782,1,72,0x416F,28481
784,1,72,0x5570,28757
786,1,8,0xFFFF,65535
788,1,72,0x6970,28777
790,1,72,0x8170,28801
792,1,72,0x956F,28565
794,1,8,0xFFFF,65535
796,1,72,0xA970,28841
798,1,72,0xC16F,28609
800,1,72,0xD56F,28629
802,1,8,0xFFFF,65535
804,1,72,0xE970,28905
806,1,72,0x016F,28417
808,1,72,0x1570,28693
810,1,8,0xFFFF,65535
812,1,72,0x2970,28713
814,1,72,0x416F,28481
816,1,72,0x5570,28757
818,1,8,0xFFFF,65535
820,1,72,0x696F,28521
822,1,72,0x816F,28545
824,1,72,0x9570,28821
826,1,8,0xFFFF,65535
828,1,72,0xA970,28841
830,1,72,0xC170,28865
832,1,72,0xD570,28885
834,1,8,0xFFFF,65535
836,1,72,0xE970,28905
838,1,72,0x0170,28673
840,1,72,0x1570,28693
842,1,8,0xFFFF,65535
844,1,72,0x2970,28713
846,1,72,0x4170,28737
848,1,72,0x5570,28757
850,1,8,0xFFFF,65535
852,1,72,0x6970,28777
854,1,72,0x8170,28801
856,1,72,0x956F,28565
858,1,8,0xFFFF,65535
860,1,72,0xA970,28841
862,1,72,0xC170,28865
864,1,72,0xD56F,28629
866,1,8,0xFFFF,65535
868,1,72,0xE970,28905
870,1,72,0x0170,28673
872,1,72,0x1570,28693
874,1,8,0xFFFF,65535
876,1,72,0x2970,28713
878,1,72,0x4170,28737
880,1,72,0x556F,28501
882,1,8,0xFFFF,65535
884,1,72,0x6970,28777
886,1,72,0x816F,28545
888,1,72,0x9570,28821
890,1,8,0xFFFF,65535
892,1,72,0xA970,28841
894,1,72,0xC170,28865
896,1,72,0xD570,28885
898,1,8,0xFFFF,65535
900,1,72,0xE970,28905
